#Energy 	 levels_created [this bin] 	 levels_model [MeV^-1] 	 levels_model_from_tot [MeV^-1]
1.47866	0	72.8083	71.9576
1.49499	0	74.7909	73.9195
1.51131	0	76.8333	75.9501
1.52763	0	78.9597	78.0772
1.54396	1	81.0857	80.2043
1.56028	2	83.2922	82.4108
1.5766	1	85.5997	84.7171
1.59293	1	87.9069	87.0234
1.60925	0	90.3063	89.421
1.62558	1	92.8098	91.9216
1.6419	1	95.3129	94.4222
1.65822	2	97.9217	97.0275
1.67455	2	100.637	99.7388
1.69087	3	103.353	102.45
1.70719	2	106.188	105.281
1.72352	1	109.134	108.221
1.73984	2	112.079	111.16
1.75617	3	115.161	114.236
1.77249	1	118.356	117.424
1.78881	1	121.55	120.611
1.80514	2	124.9	123.954
1.82146	3	128.364	127.41
1.83778	1	131.827	130.865
1.85411	3	135.468	134.497
1.87043	1	139.225	138.244
1.88676	4	142.981	141.991
1.90308	4	146.937	145.938
1.9194	0	151.01	150
1.93573	3	155.083	154.063
1.95205	5	159.383	158.351
1.96837	1	163.799	162.756
1.9847	2	168.216	167.161
2.00102	3	172.887	171.821
2.01735	2	177.676	176.597
2.03367	2	182.465	181.373
2.04999	3	187.541	186.435
2.06632	4	192.734	191.614
2.08264	1	197.926	196.792
2.09896	3	203.442	202.293
2.11529	5	209.072	207.908
2.13161	0	214.702	213.523
2.14794	2	220.696	219.5
2.16426	4	226.8	225.588
2.18058	4	232.904	231.676
2.19691	2	239.416	238.17
2.21323	4	246.035	244.771
2.22955	3	252.653	251.371
2.24588	7	259.729	258.428
2.2622	6	266.906	265.585
2.27853	5	274.081	272.742
2.29485	6	281.769	280.409
2.31117	1	289.55	288.169
2.3275	6	297.33	295.928
2.34382	4	305.684	304.259
2.36014	5	314.12	312.673
2.37647	5	322.555	321.086
2.39279	3	331.631	330.138
2.40912	9	340.777	339.26
2.42544	5	349.923	348.383
2.44176	4	359.784	358.217
2.45809	8	369.701	368.108
2.47441	6	379.617	377.999
2.49073	9	390.331	388.685
2.50706	7	401.083	399.409
2.52338	10	411.834	410.134
2.53971	8	423.475	421.744
2.55603	5	435.132	433.372
2.57235	10	446.797	445.007
2.58868	6	459.436	457.614
2.605	9	472.076	470.222
2.62132	7	484.751	482.865
2.63765	8	498.455	496.535
2.65397	9	512.158	510.205
2.6703	9	525.932	523.945
2.68662	7	540.79	538.766
2.70294	11	555.648	553.587
2.71927	8	570.615	568.518
2.73559	10	586.725	584.588
2.75191	7	602.833	600.658
2.76824	10	619.098	616.884
2.78456	10	636.564	634.307
2.80089	12	654.029	651.731
2.81721	11	671.702	669.363
2.83353	17	690.639	688.255
2.84986	12	709.576	707.147
2.86618	14	728.78	726.307
2.8825	9	749.312	746.79
2.89883	10	769.843	767.274
2.91515	13	790.711	788.094
2.93148	10	812.972	810.303
2.9478	17	835.232	832.512
2.96412	13	857.908	855.138
2.98045	13	882.044	879.218
2.99677	17	906.178	903.298
3.01309	14	930.819	927.884
3.02942	17	956.987	953.993
3.04574	16	983.153	980.102
3.06207	18	1009.93	1006.82
3.07839	11	1038.3	1035.13
3.09471	18	1066.67	1063.44
3.11104	20	1095.76	1092.47
3.12736	22	1126.53	1123.16
3.14368	18	1157.29	1153.85
3.16001	25	1188.9	1185.4
3.17633	22	1222.25	1218.68
3.19266	15	1255.6	1251.96
3.20898	20	1289.95	1286.24
3.2253	22	1326.11	1322.32
3.24163	26	1362.27	1358.4
3.25795	20	1399.6	1395.65
3.27427	24	1438.81	1434.78
3.2906	20	1478.01	1473.9
3.30692	24	1518.57	1514.38
3.32325	22	1561.08	1556.8
3.33957	31	1603.58	1599.21
3.35589	26	1647.65	1643.2
3.37222	28	1693.74	1689.19
3.38854	26	1739.83	1735.18
3.40486	29	1787.71	1782.98
3.42119	32	1837.68	1832.84
3.43751	35	1887.65	1882.71
3.45384	25	1939.68	1934.64
3.47016	38	1993.86	1988.71
3.48648	32	2048.04	2042.78
3.50281	35	2104.58	2099.21
3.51913	33	2163.31	2157.83
3.53545	38	2222.05	2216.46
3.55178	41	2283.49	2277.77
3.5681	34	2347.17	2341.34
3.58443	42	2410.86	2404.9
3.60075	36	2477.61	2471.53
3.61707	46	2546.66	2540.44
3.6334	47	2615.71	2609.36
3.64972	45	2688.24	2681.76
3.66604	47	2763.11	2756.48
3.68237	39	2837.97	2831.21
3.69869	45	2916.78	2909.87
3.71502	44	2997.95	2990.89
3.73134	50	3079.12	3071.91
