# E fE1+fM1 fE1 fM1
0.000000000000000000e+00 6.492234012666312793e-09 6.492234012666312793e-09 0.000000000000000000e+00
5.025125628140703765e-02 6.850656602919563906e-09 6.829242748690899756e-09 2.141385422866411739e-11
1.005025125628140753e-01 7.209293668771081795e-09 7.166388815333306532e-09 4.290485343777494633e-11
1.507537688442211199e-01 7.568360480897710767e-09 7.503809656517889013e-09 6.455082437982211511e-11
2.010050251256281506e-01 7.928073911383031249e-09 7.841642943005049237e-09 8.643096837798234789e-11
2.512562814070352091e-01 8.288653262826088989e-09 8.180026686367603295e-09 1.086265764584862367e-10
3.015075376884422398e-01 8.650321132334741096e-09 8.519099353639661984e-09 1.312217786950789050e-10
3.517587939698492705e-01 9.013304323393164459e-09 8.858999982866303687e-09 1.543043405268608756e-10
4.020100502512563012e-01 9.377834819824074850e-09 9.199868299786043811e-09 1.779665200380313231e-10
4.522613065326633319e-01 9.744150837688103518e-09 9.541844835882456890e-09 2.023060018056471454e-10
5.025125628140704181e-01 1.011249797303822470e-08 9.885071048047072059e-09 2.274269249911518934e-10
5.527638190954774489e-01 1.048313046605553899e-08 1.022968944010188968e-08 2.534410259536498814e-10
6.030150753768844796e-01 1.085631260533898775e-08 1.057584368643771676e-08 2.804689189012717722e-10
6.532663316582915103e-01 1.123232030013659609e-08 1.092367875803296442e-08 3.086415421036308980e-10
7.035175879396985410e-01 1.161144285325876762e-08 1.127334105112753464e-08 3.381018021312336976e-10
7.537688442211055717e-01 1.199398497351727328e-08 1.162497851883734071e-08 3.690064546799327270e-10
8.040201005025126024e-01 1.238026907405817878e-08 1.197874080600742999e-08 4.015282680507490464e-10
8.542713567839196331e-01 1.277063791224715283e-08 1.233477938761533285e-08 4.358585246318196114e-10
9.045226130653266639e-01 1.316545763825990521e-08 1.269324771105143188e-08 4.722099272084729147e-10
9.547738693467336946e-01 1.356512133378997067e-08 1.305430134261996065e-08 5.108199911700107427e-10
1.005025125628140836e+00 1.397005314002850804e-08 1.341809811862255167e-08 5.519550214059555467e-10
1.055276381909547867e+00 1.438071309622022902e-08 1.378479830140655867e-08 5.959147948136707646e-10
1.105527638190954898e+00 1.479760283784649948e-08 1.415456474078261170e-08 6.430380970638874659e-10
1.155778894472361928e+00 1.522127233837038428e-08 1.452756304123999515e-08 6.937092971303894389e-10
1.206030150753768959e+00 1.565232792249659332e-08 1.490396173541522013e-08 7.483661870813721599e-10
1.256281407035175990e+00 1.609144183464598698e-08 1.528393246429804408e-08 8.075093703479443449e-10
1.306532663316583021e+00 1.653936371720038227e-08 1.566765016469093139e-08 8.717135525094511971e-10
1.356783919597990051e+00 1.699693444344459998e-08 1.605529326447271150e-08 9.416411789718882737e-10
1.407035175879397082e+00 1.746510286576413523e-08 1.644704388625480666e-08 1.018058979509328148e-09
1.457286432160804113e+00 1.794494618802752573e-08 1.684308806005979651e-08 1.101858127967729630e-09
1.507537688442211143e+00 1.843769486189298007e-08 1.724361594569699778e-08 1.194078916195982502e-09
1.557788944723618174e+00 1.894476315252313414e-08 1.764882206555896467e-08 1.295941086964168228e-09
1.608040201005025205e+00 1.946778683576798209e-08 1.805890554861628759e-08 1.408881287151693678e-09
1.658291457286432236e+00 2.000866989610675834e-08 1.847407038644672487e-08 1.534599509660033260e-09
1.708542713567839266e+00 2.056964261639230118e-08 1.889452570219832923e-08 1.675116914193973405e-09
1.758793969849246297e+00 2.115333411368744016e-08 1.932048603345629565e-08 1.832848080231145553e-09
1.809045226130653328e+00 2.176286320689679087e-08 1.975217163005909054e-08 2.010691576837700325e-09
1.859296482412060358e+00 2.240195251920058332e-08 2.018980876799278492e-08 2.212143751207799634e-09
1.909547738693467389e+00 2.307507191072004030e-08 2.063363008058344808e-08 2.441441830136592213e-09
1.959798994974874420e+00 2.378761862367982696e-08 2.108387490830670675e-08 2.703743715373118548e-09
2.010050251256281673e+00 2.454614266804028328e-08 2.154078966864243489e-08 3.005352999397849213e-09
2.060301507537688703e+00 2.535862641994429964e-08 2.200462824752116366e-08 3.353998172423135560e-09
2.110552763819095734e+00 2.623482593017851874e-08 2.247565241403908531e-08 3.759173516139431781e-09
2.160804020100502765e+00 2.718667552758942280e-08 2.295413226026066090e-08 4.232543267328761075e-09
2.211055276381909795e+00 2.822874193329572990e-08 2.344034666808373879e-08 4.788395265211990290e-09
2.261306532663316826e+00 2.937867958926942763e-08 2.393458380531267197e-08 5.444095783956756491e-09
2.311557788944723857e+00 3.065756727910693809e-08 2.443714165327171972e-08 6.220425625835217546e-09
2.361809045226130888e+00 3.208986596171202806e-08 2.494832856849572951e-08 7.141537393216297720e-09
2.412060301507537918e+00 3.370247972695194187e-08 2.546846388125927772e-08 8.234015845692667464e-09
2.462311557788944949e+00 3.552196555692848812e-08 2.599787853395097468e-08 9.524087022977513439e-09
2.512562814070351980e+00 3.756830385523411541e-08 2.653691576256892679e-08 1.103138809266518696e-08
2.562814070351759010e+00 3.984301170021535176e-08 2.708593182490785407e-08 1.275707987530749604e-08
2.613065326633166041e+00 4.230960658391232640e-08 2.764529677933150839e-08 1.466430980458081801e-08
2.663316582914573072e+00 4.486761764518237756e-08 2.821539531837724682e-08 1.665222232680513405e-08
2.713567839195980103e+00 4.733044271436566039e-08 2.879662766182674812e-08 1.853381505253891227e-08
2.763819095477387133e+00 4.943133532525423147e-08 2.938941051429994057e-08 2.004192481095428759e-08
2.814070351758794164e+00 5.088544761568986172e-08 2.999417809289196683e-08 2.089126952279789489e-08
2.864321608040201195e+00 5.150259690936396269e-08 3.061138323087812784e-08 2.089121367848583485e-08
2.914572864321608225e+00 5.128359590374832566e-08 3.124149856406299775e-08 2.004209733968532461e-08
2.964824120603015256e+00 5.042006953263936724e-08 3.188501780695028222e-08 1.853505172568908833e-08
3.015075376884422287e+00 4.919792549314220549e-08 3.254245712656268816e-08 1.665546836657952064e-08
3.065326633165829318e+00 4.788467651027752663e-08 3.321435662244972816e-08 1.467031988782779847e-08
3.115577889447236348e+00 4.666760218772244965e-08 3.390128192218777244e-08 1.276632026553467886e-08
3.165829145728643379e+00 4.564790522270695063e-08 3.460382590250394102e-08 1.104407932020301127e-08
3.216080402010050410e+00 4.486290098133627188e-08 3.532261054704419133e-08 9.540290434292078895e-09
3.266331658291457440e+00 4.431199807194261040e-08 3.605828895275627463e-08 8.253709119186337417e-09
3.316582914572864471e+00 4.397621188032351320e-08 3.681154749786907557e-08 7.164664382454440113e-09
3.366834170854271502e+00 4.383003240258538920e-08 3.758310818551566830e-08 6.246924217069724213e-09
3.417085427135678533e+00 4.384764257754115816e-08 3.837373117816190612e-08 5.473911399379252859e-09
3.467336683417085563e+00 4.400570379555854171e-08 3.918421753915306255e-08 4.821486256405482462e-09
3.517587939698492594e+00 4.428429439121938770e-08 4.001541219885923888e-08 4.268882192360150479e-09
3.567839195979899625e+00 4.466695371957025851e-08 4.086820716406166817e-08 3.798746555508588687e-09
3.618090452261306655e+00 4.514034884524826634e-08 4.174354499033846128e-08 3.396803854909807952e-09
3.668341708542713686e+00 4.569382333885871874e-08 4.264242253823223791e-08 3.051400800626477930e-09
3.718592964824120717e+00 4.631894780798013491e-08 4.356589503484470943e-08 2.753052773135425066e-09
3.768844221105527748e+00 4.700912032581738348e-08 4.451508046311568504e-08 2.494039862701698852e-09
3.819095477386934778e+00 4.775923049301130327e-08 4.549116430128767994e-08 2.268066191723624565e-09
3.869346733668341809e+00 4.856538554122938222e-08 4.649540463477493802e-08 2.069980906454443789e-09
3.919597989949748840e+00 4.942469099427757607e-08 4.752913766164415200e-08 1.895553332633425723e-09
3.969849246231155870e+00 5.033507693446464576e-08 4.859378361090727841e-08 1.741293323557364252e-09
4.020100502512563345e+00 5.129516136659102762e-08 4.969085308948080625e-08 1.604308277110223235e-09
4.070351758793970376e+00 5.230414331352430778e-08 5.082195386853843051e-08 1.482189444985877893e-09
4.120603015075377407e+00 5.336171955654721140e-08 5.198879811250614371e-08 1.372921444041069344e-09
4.170854271356784437e+00 5.446802011496295270e-08 5.319321004339427150e-08 1.274810071568683891e-09
4.221105527638191468e+00 5.562355856151132306e-08 5.443713401860401597e-08 1.186424542907305434e-09
4.271356783919598499e+00 5.682919408118831429e-08 5.572264298061408012e-08 1.106551100574236441e-09
4.321608040201005529e+00 5.808610281736071563e-08 5.705194721056285487e-08 1.034155606797860972e-09
4.371859296482412560e+00 5.939575653545216837e-08 5.842740328283460157e-08 9.683532526175653541e-10
4.422110552763819591e+00 6.075990699558598186e-08 5.985152307200681580e-08 9.083839235791639907e-10
4.472361809045226622e+00 6.218057468237685864e-08 6.132698260404058696e-08 8.535920783362729267e-10
4.522613065326633652e+00 6.366004070882638145e-08 6.285663046684399508e-08 8.034102419823806832e-10
4.572864321608040683e+00 6.520084080356475622e-08 6.444349539699400498e-08 7.573454065707572317e-10
4.623115577889447714e+00 6.680576031377416936e-08 6.609079253426034632e-08 7.149677795138225257e-10
4.673366834170854744e+00 6.847782911357395073e-08 6.780192767749121681e-08 6.759014360827308199e-10
4.723618090452261775e+00 7.022031519979088611e-08 6.958049867726624798e-08 6.398165225246335803e-10
4.773869346733668806e+00 7.203671558161780392e-08 7.143029285449816508e-08 6.064227271196452540e-10
4.824120603015075837e+00 7.393074282347789327e-08 7.335527903126299711e-08 5.754637922148919208e-10
4.874371859296482867e+00 7.590630527621154084e-08 7.535959239193492642e-08 5.467128842766114222e-10
4.924623115577889898e+00 7.796747862549866590e-08 7.744750995161186881e-08 5.199686738867931591e-10
4.974874371859296929e+00 8.011846589543951284e-08 7.962341389006546384e-08 4.950520053740463165e-10
5.025125628140703959e+00 8.236354247182273792e-08 8.189173941387407145e-08 4.718030579486722633e-10
5.075376884422110990e+00 8.470698206569582870e-08 8.425690314769568269e-08 4.500789180001449833e-10
5.125628140703518021e+00 8.715295885107202994e-08 8.672320735453663649e-08 4.297514965353988294e-10
5.175879396984925052e+00 8.970542033303614598e-08 8.929471459572806697e-08 4.107057373080778202e-10
5.226130653266332082e+00 9.236792492213653891e-08 9.197508685156235899e-08 3.928380705741864348e-10
5.276381909547739113e+00 9.514343784599953136e-08 9.476738277095025112e-08 3.760550750492849964e-10
5.326633165829146144e+00 9.803407912443571598e-08 9.767380680755257220e-08 3.602723168831498818e-10
5.376884422110553174e+00 1.010408181575294400e-07 1.006954048179458350e-07 3.454133395836067293e-10
5.427135678391960205e+00 1.041631114085751533e-07 1.038317026255461174e-07 3.314087830290329776e-10
5.477386934673367236e+00 1.073984831770848356e-07 1.070802875639033955e-07 3.181956131814403787e-10
5.527638190954774267e+00 1.107420550829486801e-07 1.104363386359618450e-07 3.057164469868311064e-10
5.577889447236181297e+00 1.141860381344317187e-07 1.138921191750946869e-07 2.939189593370335820e-10
5.628140703517588328e+00 1.177192124776670897e-07 1.174364571167109992e-07 2.827553609560909964e-10
5.678391959798995359e+00 1.213264340700438510e-07 1.210542521323078244e-07 2.721819377360276977e-10
5.728643216080402389e+00 1.249882238047153356e-07 1.247260651612760779e-07 2.621586434392504581e-10
5.778894472361809420e+00 1.286805111582655508e-07 1.284278624194106329e-07 2.526487388549198912e-10
5.829145728643216451e+00 1.323746179422059724e-07 1.321309994707234496e-07 2.436184714825343989e-10
5.879396984924623482e+00 1.360375734386908338e-07 1.358025366480419052e-07 2.350367906489322558e-10
5.929648241206030512e+00 1.396328443061257079e-07 1.394059692124552302e-07 2.268750936704762349e-10
5.979899497487437543e+00 1.431215355979619132e-07 1.429024285986905721e-07 2.191069992713456522e-10
6.030150753768844574e+00 1.464640698215361630e-07 1.462523616765572344e-07 2.117081449789200197e-10
6.080402010050251604e+00 1.496222808652777173e-07 1.494176248596252377e-07 2.046560056524813161e-10
6.130653266331658635e+00 1.525617776090187520e-07 1.523638478783450301e-07 1.979297306737349587e-10
6.180904522613065666e+00 1.552543542879042311e-07 1.550628442902574455e-07 1.915099976467811913e-10
6.231155778894472697e+00 1.576801720896160941e-07 1.574947932088867541e-07 1.853788807293531767e-10
6.281407035175879727e+00 1.598294286499318600e-07 1.596499089179786409e-07 1.795197319532073666e-10
6.331658291457286758e+00 1.617032798474549103e-07 1.615293627733596689e-07 1.739170740952391811e-10
6.381909547738693789e+00 1.633138775292586172e-07 1.631453210254216251e-07 1.685565038369946338e-10
6.432160804020100819e+00 1.646835176413738662e-07 1.645200930372710511e-07 1.634246041028022243e-10
6.482412060301507850e+00 1.658430253851340189e-07 1.656845165205348686e-07 1.585088645991627908e-10
6.532663316582914881e+00 1.668296067258653002e-07 1.666758091161721288e-07 1.537976096931801815e-10
6.582914572864321912e+00 1.676844478383728441e-07 1.675351679055047115e-07 1.492799328681377239e-10
6.633165829145728942e+00 1.684503405056738707e-07 1.683053948685919976e-07 1.449456370818794385e-10
6.683417085427135973e+00 1.691695618469014928e-07 1.690287766664712837e-07 1.407851804302096529e-10
6.733668341708543004e+00 1.698821602300739844e-07 1.697453706034894098e-07 1.367896265845707918e-10
6.783919597989950034e+00 1.706247168661251060e-07 1.704917662665930195e-07 1.329505995320774477e-10
6.834170854271357065e+00 1.714295810923740608e-07 1.713003208501763938e-07 1.292602421976702125e-10
6.884422110552764096e+00 1.723245261230678561e-07 1.721988149444942051e-07 1.257111785736400802e-10
6.934673366834171127e+00 1.733327432687294100e-07 1.732104467897075346e-07 1.222964790218744263e-10
6.984924623115578157e+00 1.744730833770395243e-07 1.743540737485899584e-07 1.190096284495715802e-10
7.035175879396985188e+00 1.757604590722315329e-07 1.756446145751410736e-07 1.158444970904720932e-10
7.085427135678392219e+00 1.772063344428444678e-07 1.770935391291930975e-07 1.127953136513639578e-10
7.135678391959799249e+00 1.788192452686044940e-07 1.787093886279963088e-07 1.098566406081921272e-10
7.185929648241206280e+00 1.806053092680919935e-07 1.804982859166340755e-07 1.070233514579200508e-10
7.236180904522613311e+00 1.825687002052528605e-07 1.824644095955011798e-07 1.042906097516884185e-10
7.286432160804020342e+00 1.847120711603341116e-07 1.846104173105820346e-07 1.016538497520864534e-10
7.336683417085427372e+00 1.870369207504070916e-07 1.869378119918343467e-07 9.910875857274803859e-11
7.386934673366834403e+00 1.895439019015246460e-07 1.894472506418524201e-07 9.665125967222430629e-11
7.437185929648241434e+00 1.922330764351335397e-07 1.921387989375471586e-07 9.427749758636864465e-11
7.487437185929648464e+00 1.951041207692554536e-07 1.950121369454609979e-07 9.198382379445564655e-11
7.537688442211055495e+00 1.981564889283576272e-07 1.980667221447335190e-07 8.976678362410261666e-11
7.587939698492462526e+00 2.013895391935538848e-07 2.013019160894449831e-07 8.762310410889092057e-11
7.638190954773869557e+00 2.048026304015162144e-07 2.047170807187956978e-07 8.554968272051183573e-11
7.688442211055276587e+00 2.083951933269375582e-07 2.083116497500331595e-07 8.354357690439029661e-11
7.738693467336683618e+00 2.121667819022400893e-07 2.120851799078859353e-07 8.160199435415215326e-11
7.788944723618090649e+00 2.161171083304916594e-07 2.160373860465255757e-07 7.972228396607964684e-11
7.839195979899497679e+00 2.202460654871194330e-07 2.201681635596995181e-07 7.790192741990933742e-11
7.889447236180904710e+00 2.245537394114777728e-07 2.244776008801407503e-07 7.613853133703335125e-11
7.939698492462311741e+00 2.290404141725223318e-07 2.289659843525509236e-07 7.442981997141280081e-11
7.989949748743718771e+00 2.337065709553514327e-07 2.336337973269590762e-07 7.277362839236063672e-11
8.040201005025126690e+00 2.385528828529174977e-07 2.384817149567956844e-07 7.116789612183157947e-11
8.090452261306532833e+00 2.435802065524834545e-07 2.435105958912914535e-07 6.961066119201317017e-11
8.140703517587940752e+00 2.487895718709553003e-07 2.487214718163634282e-07 6.810005459187473595e-11
8.190954773869346894e+00 2.541821699085420945e-07 2.541155356134681694e-07 6.663429507393141079e-11
8.241206030150754813e+00 2.597593404483142426e-07 2.596941287640193877e-07 6.521168429484173394e-11
8.291457286432160956e+00 2.655225591230018131e-07 2.654587285207362031e-07 6.383060226560827570e-11
8.341708542713568875e+00 2.714734247935946589e-07 2.714109352905055367e-07 6.248950308910585970e-11
8.391959798994975017e+00 2.776136475316418211e-07 2.775524606206773918e-07 6.118691096444634709e-11
8.442211055276382936e+00 2.839450375641139317e-07 2.838851161476746369e-07 5.992141643931353100e-11
8.492462311557789079e+00 2.904694955224404995e-07 2.904108038495475952e-07 5.869167289288852079e-11
8.542713567839196998e+00 2.971890043326644242e-07 2.971315079394310880e-07 5.749639323333797712e-11
8.592964824120603140e+00 3.041056230886945065e-07 3.040492887418994139e-07 5.633434679508187119e-11
8.643216080402011059e+00 3.112214832629722673e-07 3.111662789065500857e-07 5.520435642218611009e-11
8.693467336683417201e+00 3.185387876261678748e-07 3.184846823304426080e-07 5.410529572526958217e-11
8.743718592964825120e+00 3.260598122677330880e-07 3.260067761812328075e-07 5.303608650026110922e-11
8.793969849246231263e+00 3.337869121301214079e-07 3.337349164338231738e-07 5.199569629821927579e-11
8.844221105527639182e+00 3.417225304892673908e-07 3.416715473531311741e-07 5.098313613622452565e-11
8.894472361809045324e+00 3.498692128303063717e-07 3.498192153719662632e-07 4.999745834009236985e-11
8.944723618090453243e+00 3.582296255784387618e-07 3.581805878239284365e-07 4.903775451032837636e-11
8.994974874371859386e+00 3.668065801479885892e-07 3.667584769943851948e-07 4.810315360337070154e-11
9.045226130653267305e+00 3.756030627658253492e-07 3.755558699457046153e-07 4.719282012073490744e-11
9.095477386934673447e+00 3.846222705060169943e-07 3.845759645536178132e-07 4.630595239920462947e-11
9.145728643216081366e+00 3.938676539385621914e-07 3.938222121575664907e-07 4.544178099569564374e-11
9.195979899497487509e+00 4.033429667439716127e-07 4.032983671768107398e-07 4.459956716086914389e-11
