# 164Dy(3He,3He')164Dy from Renstroem et al., PRC 98, 054310 (2018)
# Data first presented in Nyhus et al., PRC 85, 014323 (2012)
# The err is the uncertainty straight out from rhosigchi.f
# The err_tot includes normalization uncertainties in D0,<Gg> and the spin distribution
# ACL, 4 April 2019
# Ex(MeV)	 rho(MeV^-1)	 err(MeV^-1)	 err_tot(MeV^-1)
-0.340	 1.3189E-01	 3.5615E-01	 3.5632E-01
-0.220	 1.6299E+00	 1.6102E-01	 2.0304E-01
-0.100	 3.3677E+00	 2.4615E-01	 3.3870E-01
0.020	 6.0431E+00	 3.4796E-01	 5.1242E-01
0.140	 9.7024E+00	 4.3334E-01	 6.9030E-01
0.260	 1.0493E+01	 4.8407E-01	 7.0226E-01
0.380	 9.6891E+00	 5.4825E-01	 6.8024E-01
0.500	 9.4586E+00	 5.4369E-01	 6.3461E-01
0.620	 8.8168E+00	 6.6710E-01	 7.1015E-01
0.740	 1.1094E+01	 7.7076E-01	 8.0392E-01
0.860	 1.6496E+01	 1.0026E+00	 1.0273E+00
0.980	 2.2333E+01	 1.1105E+00	 1.1199E+00
1.100	 2.5392E+01	 1.4562E+00	 1.4565E+00
1.220	 2.4151E+01	 1.2072E+00	 1.2221E+00
1.340	 1.9799E+01	 1.1378E+00	 1.1761E+00
1.460	 1.8429E+01	 1.3279E+00	 1.3898E+00
1.580	 2.5695E+01	 1.4023E+00	 1.5941E+00
1.700	 4.1987E+01	 1.9158E+00	 2.4610E+00
1.820	 7.1705E+01	 2.7526E+00	 4.1930E+00
1.940	 1.0872E+02	 3.6646E+00	 6.6885E+00
2.060	 1.5549E+02	 4.9180E+00	 1.0390E+01
2.180	 2.0244E+02	 6.9244E+00	 1.5100E+01
2.300	 2.6244E+02	 8.1411E+00	 2.0996E+01
2.420	 3.1871E+02	 9.2607E+00	 2.7499E+01
2.540	 4.1264E+02	 1.2274E+01	 3.8634E+01
2.660	 4.9264E+02	 1.5392E+01	 4.9897E+01
2.780	 5.7963E+02	 2.3438E+01	 6.4651E+01
2.900	 6.9510E+02	 2.3287E+01	 8.0989E+01
3.020	 8.4823E+02	 2.7232E+01	 1.0477E+02
3.140	 1.0705E+03	 3.7261E+01	 1.4096E+02
3.260	 1.3588E+03	 5.3780E+01	 1.9083E+02
3.380	 1.6980E+03	 5.8921E+01	 2.4910E+02
3.500	 1.9422E+03	 8.1034E+01	 3.0309E+02
3.620	 2.5094E+03	 9.2097E+01	 4.0765E+02
3.740	 3.0710E+03	 1.1649E+02	 5.2340E+02
3.860	 3.6317E+03	 1.5472E+02	 6.5095E+02
3.980	 4.5450E+03	 2.0068E+02	 8.5160E+02
4.100	 5.3307E+03	 2.8464E+02	 1.0527E+03
4.220	 6.6141E+03	 3.0500E+02	 1.3459E+03
4.340	 7.7487E+03	 4.2187E+02	 1.6533E+03
4.460	 1.0201E+04	 5.8575E+02	 2.2647E+03
4.580	 1.2328E+04	 6.6968E+02	 2.8253E+03
4.700	 1.6726E+04	 9.8383E+02	 3.9849E+03
4.820	 1.9786E+04	 1.2652E+03	 4.8980E+03
4.940	 2.3986E+04	 1.5694E+03	 6.1398E+03
5.060	 2.9331E+04	 1.9352E+03	 7.7492E+03
5.180	 3.6719E+04	 3.2455E+03	 1.0231E+04
5.300	 4.0146E+04	 4.1548E+03	 1.1709E+04
5.420	 4.8031E+04	 5.2467E+03	 1.4488E+04
5.540	 6.5937E+04	 7.4568E+03	 2.0506E+04
5.660	 7.6819E+04	 9.2638E+03	 2.4715E+04
5.780	 1.0638E+05	 1.3421E+04	 3.5297E+04
5.900	 1.3606E+05	 1.8000E+04	 4.6554E+04
6.020	 1.4636E+05	 2.5504E+04	 5.3880E+04
6.140	 1.9144E+05	 3.1772E+04	 7.1233E+04
6.260	 2.5037E+05	 4.5400E+04	 9.6878E+04
6.380	 2.0979E+05	 6.3842E+04	 9.7407E+04
6.500	 3.1216E+05	 8.3315E+04	 1.3978E+05
6.620	 3.2245E+05	 1.0901E+05	 1.6125E+05
6.740	 5.1586E+05	 1.7348E+05	 2.6080E+05
6.860	 3.2774E+05	 2.2256E+05	 2.5609E+05
